Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat ostrzeszowski,2015.0,55.0,39.0,6.0
powiat ostrzeszowski,2016.0,46.0,47.0,4.0
powiat ostrzeszowski,2017.0,27.0,36.0,16.0
powiat ostrzeszowski,2018.0,38.0,36.0,7.0
powiat ostrzeszowski,2019.0,34.0,36.0,7.0
powiat ostrzeszowski,2020.0,34.0,31.0,5.0
powiat ostrzeszowski,2021.0,29.0,29.0,7.0
powiat ostrzeszowski,2022.0,33.0,29.0,5.0
powiat Radom,2011.0,319.0,281.0,12.0
powiat Radom,2012.0,175.0,160.0,12.0
powiat Radom,2013.0,335.0,259.0,5.0
powiat Radom,2014.0,307.0,244.0,6.0
powiat Radom,2015.0,284.0,245.0,4.0
powiat Radom,2016.0,280.0,234.0,8.0
powiat Radom,2017.0,322.0,265.0,13.0
powiat Radom,2018.0,322.0,266.0,9.0
powiat Radom,2019.0,321.0,278.0,8.0
powiat Radom,2020.0,195.0,172.0,7.0
powiat Radom,2021.0,219.0,169.0,3.0
powiat Radom,2022.0,228.0,188.0,3.0
powiat żyrardowski,2011.0,70.0,63.0,21.0
powiat żyrardowski,2012.0,112.0,80.0,13.0
powiat żyrardowski,2013.0,107.0,77.0,10.0
powiat żyrardowski,2014.0,86.0,66.0,8.0
powiat żyrardowski,2015.0,96.0,85.0,14.0
powiat żyrardowski,2016.0,136.0,98.0,6.0
powiat żyrardowski,2017.0,89.0,65.0,6.0
powiat żyrardowski,2018.0,95.0,81.0,14.0
powiat żyrardowski,2019.0,127.0,102.0,10.0
powiat żyrardowski,2020.0,85.0,74.0,10.0
powiat żyrardowski,2021.0,76.0,68.0,9.0
powiat żyrardowski,2022.0,72.0,61.0,6.0
powiat obornicki,2011.0,47.0,43.0,7.0
powiat obornicki,2012.0,30.0,24.0,5.0
powiat obornicki,2013.0,42.0,36.0,11.0
powiat obornicki,2014.0,36.0,34.0,10.0
powiat obornicki,2015.0,24.0,21.0,2.0
powiat obornicki,2016.0,24.0,26.0,13.0
powiat obornicki,2017.0,25.0,27.0,8.0
powiat obornicki,2018.0,45.0,38.0,4.0
powiat obornicki,2019.0,46.0,39.0,7.0
powiat obornicki,2020.0,28.0,23.0,3.0
powiat obornicki,2021.0,34.0,27.0,5.0
powiat obornicki,2022.0,29.0,21.0,4.0
powiat leszczyński,2011.0,123.0,83.0,10.0
powiat leszczyński,2012.0,158.0,101.0,9.0
powiat leszczyński,2013.0,153.0,110.0,11.0
powiat leszczyński,2014.0,129.0,97.0,5.0
powiat leszczyński,2015.0,114.0,89.0,1.0
powiat leszczyński,2016.0,138.0,101.0,5.0
powiat leszczyński,2017.0,120.0,94.0,2.0
powiat leszczyński,2018.0,162.0,125.0,6.0
powiat leszczyński,2019.0,129.0,102.0,5.0
