,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Europe,Eastern Europe,Bulgaria,CTS/UNSDC/Eurostat/External,664,616.000000000001,510,628,639,976,891,934,964,807,797,664,699,525,605,814,498,675,693,729,481,432,12.43,11.68,9.73,11.19,11.35,35.13,31.38,32.26,50.21,39.05,38.34,31.06,35.73,24.63,28.57,45.18,34.63,70.43,59.72,66.59,42.77,6.30
Africa,Sub-Saharan Africa,Burundi,SDG,,,,,,,,,,,,,500,1040,1128,922,1270,,,,,,,,,,,,,,,,,,5.10,15.43,16.18,12.94,17.53,,,,,
Africa,Sub-Saharan Africa,Cabo Verde,NP/MD/CTS/SAS/MoH/SAS/External,,,,15,21,44,35,,,,,,,54,65,46,62,38,31,33,36,,,,,3.12,4.32,8.93,7.02,,,,,,,10.00,11.90,8.33,11.10,6.73,5.43,5.72,6.18,
Asia,South-eastern Asia,Cambodia,JP/WHO,571,407,425,509,511,448,400,393,333,331,331,268,,,,,,,,,,,4.71,3.30,3.38,3.98,3.93,3.38,2.97,2.87,2.39,2.34,2.30,1.84,,,,,,,,,,
Africa,Sub-Saharan Africa,Cameroon,NSO/SDG,459,755,1031,1002,,,,,776,1277,999,835,880,,,1722,1574,2008,,,2447,,3.04,4.87,6.48,6.13,,,,,4.13,6.61,5.03,4.08,4.18,,,11.24,9.97,12.36,,,13.79,
Americas,Northern America,Canada,NSO/OAS/CTS/SDG/GSH 2023 Revision/MD,1092,1108,1164,1257,1421,2985,2828,2794,3279,3358,3737,4136,3733,4882,4946,5663,5639,6312,6019,7633,8385,6389,5.35,5.37,5.58,5.73,6.42,20.54,18.98,18.60,33.05,33.47,55.80,61.36,51.92,73.15,68.79,83.74,80.38,92.01,83.48,86.75,92.66,66.92
Americas,Latin America and the Caribbean,Cayman Islands,MD/WHO/NSO/SAS/NP,4,2,0,3,5,3,1,2,4,8,9,,,5,5,,,3,7,2,3,,10.09,4.87,0.00,6.84,11.04,6.42,2.08,4.03,7.82,15.21,16.64,,,8.59,8.39,,,4.72,10.79,3.02,4.46,
Americas,Latin America and the Caribbean,Chile,CTS/OAS/NSO/SDG,,,,513,,1743,1728,3102,3242,3397,3804,3781,3531,4077,3727,3402,7177,7949,8210,6438,7407,6229,,,,3.23,,33.63,32.32,40.61,57.21,59.79,51.98,59.55,57.09,57.30,54.24,37.25,132.14,142.22,146.08,117.26,137.45,105.50
Asia,Eastern Asia,China,UNSDC/NSO,,,26276,24393,24711,20770,17973,16119,14811,14667,24686,22446,22857,21199,18852,17341,15482,15236,7525,7379,7157,,,,2.05,1.89,1.91,1.59,1.37,1.22,1.11,1.10,1.83,1.65,1.67,1.54,1.36,1.24,1.10,1.08,0.53,0.52,0.50,
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",CTS/GSH 2023 Revision/SDG,43,66,69,116,98,152,167,90,196,258,173,101,167,257,107,78,142,149,258,140,124,108,0.64,0.97,1.01,2.45,2.07,5.75,6.18,2.62,9.06,13.37,14.64,7.82,17.03,20.98,6.30,4.68,17.98,21.21,16.24,18.34,19.84,5.81
