,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Asia,South-eastern Asia,Timor-Leste,UNMIT/NSO,,,,,23,46,49,62,35,32,39,,,,,49,,,,,,,,,,,2.43,4.75,4.93,6.08,3.36,3.00,3.58,,,,,4.06,,,,,,
Oceania,Polynesia,Tonga,NP/External/UNSDC/NP/SAS,2,12,12,12,4,8,16,2,8,16,2,4,2,,,,,,10,3,2,,2.89,17.32,17.22,17.06,5.65,11.25,22.38,2.79,11.18,22.37,2.78,5.56,2.80,,,,,,9.51,4.76,3.84,
Americas,Latin America and the Caribbean,Trinidad and Tobago,OAS/CTS/GSH 2019 Revision/NGO/NP,120,151,171,229,520,772,1822,1958,2753,2367,2091,1639,1901,2110,2012,2017,463,5487,5675,5879,4451,448,9.01,11.28,12.70,16.92,57.64,85.10,313.98,322.86,446.53,382.43,351.64,275.39,354.63,377.21,382.21,349.13,31.51,1122.78,1127.85,1176.45,856.42,29.36
Africa,Northern Africa,Tunisia,CTS/WHO/External,,,,,195,260,249,273,280,255,286,,332,,,,349,347,,1142,1124,,,,,,1.89,2.50,2.38,2.58,2.62,2.36,2.63,,2.97,,,,2.99,2.94,,14.28,13.93,
Asia,Western Asia,Türkiye,UNECE/CTS,,,,14730,15102,19286,20346,19152,7004,15566,22407,21737,24625,42131,36721,27626,37853,28848,26124,20518,20763,16122,,,,26.24,26.55,32.85,33.75,32.25,14.36,21.55,34.78,33.41,36.96,264.39,257.83,553.58,634.45,498.25,421.62,413.90,508.28,55.90
Asia,Central Asia,Turkmenistan,TransMonEE/CTS/WHO,267,248,241,635,541,511,425,,,,210,200,158,168,178,126,,,,,,,5.84,5.35,5.13,13.34,11.22,10.46,8.58,,,,6.00,5.63,4.35,4.54,4.74,3.29,,,,,,
Americas,Latin America and the Caribbean,Turks and Caicos Islands,MD/PAHO,0,0,4,0,,0,,4,4,4,,,,8,4,,,,,,,,0.00,0.00,28.65,0.00,,0.00,,22.85,21.89,20.76,,,,35.57,17.01,,,,,,,
Oceania,Polynesia,Tuvalu,WHO/External,,,0,0,0,0,0,0,0,0,1,1,2,,,,,,,0,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.48,9.35,18.43,,,,,,,0.00,,
Africa,Sub-Saharan Africa,Uganda,UNSDC/CTS/NP/External,,,,5,6,,,2645,5937,3582,6650,7506,8132,7714,8946,,14012,9677,4497,4718,10051,9101,,,,0.02,0.02,,,8.93,28.84,11.40,30.53,34.03,35.82,32.99,37.14,,240.37,36.15,10.83,10.99,22.64,19.85
Europe,Eastern Europe,Ukraine,UNSDC/TransMonEE/CTS/DMDB/WHO,8836,9708,8592,11332,9463,8540,8273,2745,5034,4598,5867,,2336,,2845,,,5502,2002,1820,1698,1673,27.76,30.77,27.49,32.87,27.90,25.11,24.56,5.93,16.69,15.25,17.52,,5.14,,6.30,,,19.15,4.50,4.12,3.87,3.84
Asia,Western Asia,United Arab Emirates,CTS,,,,,,38,28,,,,134,102,138,114,122,120,,,,387,280,273,,,,,,0.89,0.57,,,,2.36,1.81,2.33,2.01,2.04,1.85,,,,5.99,4.39,3.80
Europe,Northern Europe,United Kingdom (England and Wales),CTS/NSO/SDG,1524,1584,1888,1828,1918,1811,3127,3429,3294,3010,3306,2834,2865,3070,4951,5444,6523,6421,6050,1873,1755,4644,4.40,4.55,5.41,4.94,5.09,4.71,34.12,35.35,36.61,37.84,40.77,33.01,36.68,56.63,61.53,76.82,90.03,90.43,78.29,4.71,4.39,10.90
Europe,Northern Europe,United Kingdom (Northern Ireland),MD Adjusted/UNSDC/Eurostat/SDG/CTS/GSH 2023 Revision/UNODC Research/SDG,45,57,38,,,113,98,103,97,122,149,141,117,143,117,133,116,171,168,184,150,137,2.67,3.38,2.24,,,49.20,49.49,35.49,65.93,65.43,45.46,56.97,58.09,52.77,56.63,71.34,58.77,74.11,76.60,64.52,96.62,23.26
Europe,Northern Europe,United Kingdom (Scotland),MD Adjusted/UNSDC/Eurostat/SDG/NSO/CTS,212,232,250,250,327,415,513,542,494,400,525,455,322,569,573,492,568,539,539,387,395,15,6.34,6.99,7.54,7.21,9.26,48.32,44.12,47.90,41.07,41.71,46.66,56.74,40.11,90.90,111.81,81.96,91.98,89.22,88.79,9.75,9.70,0.27
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,MD Adjusted/Eurostat/SDG/Computed,915,966,1107,926,950,1668,1720,1746,1524,1412,1512,1282,1254,1206,1178,1304,1578,1618,1509,1535,1345,,1.55,1.63,1.87,1.55,1.58,4.16,4.26,4.29,3.71,3.42,3.63,3.05,2.96,2.82,2.74,3.01,3.62,3.69,3.42,3.46,3.02,
Africa,Sub-Saharan Africa,United Republic of Tanzania,Computed/UNSDC/Interpol/CTS/NSO,,,,2778,2926,,,,,,18895,19307,19934,19919,10862,20143,6878,6294,5468,5438,4572,,,,,7.44,7.63,,,,,,296.93,297.38,303.22,338.75,334.13,299.55,19.08,16.88,14.19,13.70,11.16,
Americas,Northern America,United States of America,NP/UNSDC/CTS/GSH 2019 Revision/FBI,31172,38066,32458,16528,16148,41532,63912,62603,67439,65964,66254,65497,66411,117440,115511,128450,139969,143196,135363,135388,172360,106980.923691103,16.65,20.11,16.98,11.45,11.08,40.82,48.61,47.76,81.36,78.71,74.45,73.08,74.23,178.19,173.65,192.25,210.85,211.78,199.27,199.54,252.68,47.77
Americas,Latin America and the Caribbean,United States Virgin Islands,MD,46,56,82,62,74,74,86,86,92,100,112,90,104,,,,,,,,,,65.28,79.91,116.92,88.86,106.98,106.88,124.06,124.22,133.12,144.81,161.97,131.45,153.24,,,,,,,,,
Americas,Latin America and the Caribbean,Uruguay,CTS/UNSDC/Mol,214,218,231,197,200,190,404,388,475,486,441,924,1279,1327,1484,3165,2947,3025,4979,3229,2729,2481,6.50,6.60,6.99,5.95,6.04,5.73,18.51,17.78,21.16,21.60,19.54,66.77,93.49,95.33,100.57,397.53,373.70,369.11,559.56,132.07,111.45,101.77
Asia,Central Asia,Uzbekistan,TransMonEE/NSO/CTS,1068,1081,1058,963,962,910,861,815,831,,,,,,,4406,7276,5608,4667,2595,1258,1391,4.28,4.28,4.14,3.72,3.67,3.42,3.20,2.98,3.00,,,,,,,76.76,83.75,62.78,51.18,9.07,5.09,5.49
Oceania,Melanesia,Vanuatu,External,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,1.97,1.93,
Americas,Latin America and the Caribbean,Venezuela (Bolivarian Republic of),NGO/MD/UNSDC/OAS/Attorney General/CTS/External,16044,15920,19234,22684,19438,19928,24514,26312,29178,27970.0000000001,26160,28196,32144,,19030,30991,34493,29117,3304,11874,8384,5444,98.39,95.87,113.80,131.89,111.12,112.06,135.68,143.44,156.80,148.27,136.85,145.62,163.95,,63.03,152.20,168.35,143.09,11.08,40.98,29.43,19.31
Asia,South-eastern Asia,Viet Nam,WHO,,1004,1067,1059,1063,1053,1048,1168,1092,1233,1336,1358,,,,,,,,,,,,1.26,1.32,1.30,1.29,1.27,1.25,1.38,1.28,1.43,1.53,1.54,,,,,,,,,,
Asia,Western Asia,Yemen,UNSDC/NSO/CTS,697,,,704,646,,,,,990,1099,1375,1616,1703,,,,,,,,,3.74,,,3.49,3.12,,,,,4.12,4.44,5.40,6.16,6.31,,,,,,,,
Africa,Sub-Saharan Africa,Zambia,UNSDC/WHO/NP,797,,,,,,,,694,812,814,863,885,867,825,853,,,,,,,8.06,,,,,,,,5.40,6.10,5.90,6.05,6.00,5.69,5.24,5.25,,,,,,
Africa,Sub-Saharan Africa,Zimbabwe,MD/NP/WHO,,1529,1623,1360,1356,1350,1072,,,,711,,981,,,,,,1576,1638,1656,2058,,12.84,13.54,11.26,11.15,11.04,8.69,,,,5.54,,7.40,,,,,,16.05,16.39,16.25,19.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition,"Definitions: ""Intentional Homicide"" means unlawful death inflicted upon a person with the intent to cause death or serious injury.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Label,Source Text/Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ,Data Adjusted by UNODC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,Obtained based on an a statistical modification of an original value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,Attorney General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attempt,Indicates that the data may include attempted homicides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTS 2017,2017 Edition of the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTS_N,Indicates that the disaggregation was partially or completely updated with data from the CTS 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMDB,European Detailed Mortality Database (DMDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPKO,Department of Peacekeeping Operations (UN-DPKO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,Eurostat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEN,User Generated Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Gender Equality Observatory for Latin America and the Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHD Estimate,"Global Health Data Exchange (GHDx, IHME)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOV,Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSHRevision,Gloal Study on Homicide 2019 - Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHME,Institute for Health Metrics and Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTP,International Criminal Police Organization (ICPO; Interpol),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JP,Judicial police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,World Health Organization Mortality Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNS,Ministry of National Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNTH,United Nations Stabilization Mission in Haiti (MINUSTAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOH,Ministry of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOI,Ministry of Interior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOJ,Ministry of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCO,United Nations Stabilization Mission in the DR Congo (MONUSCO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBHW,National Board of Health and Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCCP,National Council for Crime Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGO,Non-governmental Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIFM,National Institute of Forensic Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,National Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC,National Security Council (Guatemala),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSO,National Statistical Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS,Organization of American States (OAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCAVI,Observatorio Centroamericano sobre Violencia (OCAVI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAHO,Pan American Health Organization (PAHO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPR,Public Prosecution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIC,Regional System of Standardized Indicators in Peaceful Coexistence and Citizen Security (IDB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSC,Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCJ,Corte Suprema de Justica (EL Salvador),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDG,Sustainable Development Goals / SDG Pre-Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDG_18,2018 Edition of the Sustainable Development Goals / SDG Pre-Pub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SES,Sistema Regional de Indicadores Estandarizados en Convivencia y Seguridad Ciudadana (SES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,Statistical Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMNE,Transformative Monitoring for Enhanced Equity (TransMonEE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNECE,United Nations Economic Commission for Europe (UNECE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNMIT,United Nations Integrated Mission in Timor-Leste (UNMIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNML,United Nations Mission in Liberia (UNMIL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNODC,United Nations Office on Drugs and Crime (UNODC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDC,"Adhoc Collection of National Criminal Justice Data as collected by UNODC, referred to as UNODC Special Data Collection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAL,Validated Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO,World Health Organization (WHO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPP,World Population Prospects 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBI,Federal Bureau of Investigation (FBI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD Adjusted,Obtained based on an a statistical modification of an original value from the World Health Organization Mortality Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSMNEE,Transformative Monitoring for Enhanced Equity (TransMonEE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHO Adjusted,Obtained based on an a statistical modification of an original value from the World Health Organization ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOV Adjusted,Obtained based on an a statistical modification of an original value from the Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDC Adjusted,"Obtained based on an a statistical modification of an original value from the Adhoc Collection of National Criminal Justice Data as collected by UNODC, referred to as UNODC Special Data Collection ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP Adjusted,Obtained based on an a statistical modification of an original value from the National Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDG Adjusted,Obtained based on an a statistical modification of an original value from the Sustainable Development Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNMIL,United Nations Mission in Liberia (UNMIL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNODC Estimate,Obtained based on an a statistical modification of an original value from a UNODC Study ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNODC,Obtained based on an a statistical modification of an original value from a UNODC Study ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPB,World Prison Brief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
